ModelID,Drug_CTD_Broad,Drug_Repurposing_Broad,Drug_GDSC_Sanger,Drug_OncRef_Broad,RNAi_Achilles_Broad,RNAi_Marcotte,RNAi_Drive_Novartis,Proteomics_Olink,Proteomics_RPPA_CCLE,Proteomics_MS_CCLE,Sequencing_RNA_Broad,Sequencing_WGS_Broad,CRISPR_Score_Sanger,CRISPR_Achilles_Broad,Methylation_Sanger,Methylation_CCLE,Uncategorized_miRNA_CCLE,Sequencing_ATACSeq_Broad,Proteomics_MS_Sanger,CRISPR_ParalogsScreens,Sequencing_WES_Broad,Sequencing_WES_Sanger,Sequencing_Long_Reads
ACH-000070,True,True,True,True,True,False,True,False,True,True,True,False,False,True,True,True,True,False,True,False,True,True,False
ACH-000905,True,True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False
ACH-001000,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
ACH-001001,True,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
ACH-000011,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False,False,False
ACH-000520,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False
ACH-001306,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False
ACH-001307,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False
ACH-000008,True,True,True,True,True,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,False
ACH-000283,True,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
ACH-000788,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
ACH-000657,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False
ACH-000681,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
ACH-000046,True,True,True,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,False
ACH-000880,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False
ACH-000248,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False
ACH-001015,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
ACH-000080,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False
ACH-000603,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,True,True,False
ACH-000548,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,False
ACH-002811,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False
ACH-002848,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
ACH-003209,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
ACH-002817,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
ACH-002822,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
ACH-002823,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
ACH-002816,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
ACH-002826,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
ACH-003207,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
ACH-002814,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False
ACH-002810,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False
ACH-003323,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False
ACH-002849,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True
ACH-003324,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False
ACH-000580,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False
