cell_line_name,index
HT29_LARGE_INTESTINE,0
EWS502_BONE,1
CJM_SKIN,2
WM115_SKIN,3
EPLC272H_LUNG,4
SKMEL30_SKIN,5
EKVX_LUNG,6
143B_BONE,7
A673_BONE,8
HS294T_SKIN,9
UACC62_SKIN,10
PETA_SKIN,11
A2058_SKIN,12
WM88_SKIN,13
SH4_SKIN,14
COLO679_SKIN,15
TC32_BONE,16
CADOES1_BONE,17
C32_SKIN,18
