compound_name,replicate,dose,masked,index
BRD:BRD-K66175015-001-09-0,1,0.036,False,0
BRD:BRD-K66175015-001-09-0,1,4.6,False,1
BRD:BRD-K66175015-001-09-0,1,0.018,False,2
BRD:BRD-K66175015-001-09-0,2,2.3,False,3
BRD:BRD-K66175015-001-09-0,1,0.072,False,4
BRD:BRD-K66175015-001-09-0,1,9.2,False,5
BRD:BRD-K66175015-001-09-0,2,0.29,False,6
BRD:BRD-K66175015-001-09-0,2,0.58,False,7
BRD:BRD-K66175015-001-09-0,2,0.14,False,8
BRD:BRD-K66175015-001-09-0,2,1.2,False,9
BRD:BRD-K66175015-001-09-0,2,4.6,False,10
BRD:BRD-K66175015-001-09-0,1,18.0,False,11
BRD:BRD-K66175015-001-09-0,2,0.018,False,12
BRD:BRD-K66175015-001-09-0,2,0.0045,False,13
BRD:BRD-K66175015-001-09-0,2,0.009,False,14
BRD:BRD-K66175015-001-09-0,2,18.0,False,15
BRD:BRD-K66175015-001-09-0,1,150.0,False,16
BRD:BRD-K66175015-001-09-0,2,0.14,False,17
BRD:BRD-K66175015-001-09-0,2,9.2,False,18
BRD:BRD-K66175015-001-09-0,1,0.14,False,19
BRD:BRD-K66175015-001-09-0,1,0.009,False,20
BRD:BRD-K66175015-001-09-0,2,37.0,False,21
BRD:BRD-K66175015-001-09-0,2,150.0,False,22
BRD:BRD-K66175015-001-09-0,1,0.0045,False,23
BRD:BRD-K66175015-001-09-0,1,37.0,False,24
BRD:BRD-K66175015-001-09-0,1,74.0,True,25
BRD:BRD-K66175015-001-09-0,2,0.036,True,26
BRD:BRD-K66175015-001-09-0,1,1.2,False,27
BRD:BRD-K66175015-001-09-0,1,0.29,False,28
BRD:BRD-K66175015-001-09-0,2,1.2,False,29
BRD:BRD-K66175015-001-09-0,1,0.58,False,30
BRD:BRD-K66175015-001-09-0,2,74.0,False,31
BRD:BRD-K66175015-001-09-0,1,0.14,False,32
BRD:BRD-K66175015-001-09-0,2,0.072,False,33
BRD:BRD-K66175015-001-09-0,1,2.3,False,34
