cell_line_name,index
SKMEL30_SKIN,0
A673_BONE,1
143B_BONE,2
CJM_SKIN,3
C32_SKIN,4
WM115_SKIN,5
TC32_BONE,6
CADOES1_BONE,7
A2058_SKIN,8
UACC62_SKIN,9
WM88_SKIN,10
EWS502_BONE,11
HT29_LARGE_INTESTINE,12
SH4_SKIN,13
HS294T_SKIN,14
PETA_SKIN,15
EKVX_LUNG,16
COLO679_SKIN,17
