compound_name,replicate,dose,masked,index
GDSC1:1032,1,0.5,F,14
GDSC1:1032,1,0.25,F,14
GDSC1:1032,1,0.125,F,14
GDSC1:1032,1,0.0625,F,14
GDSC1:1032,1,0.03125,F,14
GDSC1:1032,1,0.015625,F,14
GDSC1:1032,1,0.0078125,F,14
GDSC1:1032,1,0.00390625,F,14
GDSC1:1032,1,0.001953125,F,14
GDSC1:1008,1,0.2,F,14
GDSC1:1008,1,0.1,F,14
GDSC1:1008,1,0.05,F,14
GDSC1:1008,1,0.025,F,14
GDSC1:1008,1,0.0125,F,14
GDSC1:1008,1,0.00625,F,14
GDSC1:1008,1,0.003125,F,14
GDSC1:1008,1,0.0015625,F,14
GDSC1:1008,1,0.00078125,F,14
GDSC1:1009,1,10.0,F,14
GDSC1:1009,1,5.0,F,14
GDSC1:1009,1,2.5,F,14
GDSC1:1009,1,1.25,F,14
GDSC1:1009,1,0.625,F,14
GDSC1:1009,1,0.3125,F,14
GDSC1:1009,1,0.15625,F,14
GDSC1:1009,1,0.078125,F,14
GDSC1:1009,1,0.0390625,F,14
GDSC1:1032,1,0.5,F,12
GDSC1:1032,1,0.25,F,12
GDSC1:1032,1,0.125,F,12
GDSC1:1032,1,0.0625,F,12
GDSC1:1032,1,0.03125,F,12
GDSC1:1032,1,0.015625,F,12
GDSC1:1032,1,0.0078125,F,12
GDSC1:1032,1,0.00390625,F,12
GDSC1:1032,1,0.001953125,F,12
GDSC1:1008,1,0.2,F,12
GDSC1:1008,1,0.1,F,12
GDSC1:1008,1,0.05,F,12
GDSC1:1008,1,0.025,F,12
GDSC1:1008,1,0.0125,F,12
GDSC1:1008,1,0.00625,F,12
GDSC1:1008,1,0.003125,F,12
GDSC1:1008,1,0.0015625,F,12
GDSC1:1008,1,0.00078125,F,12
GDSC1:1009,1,10.0,F,12
GDSC1:1009,1,5.0,F,12
GDSC1:1009,1,2.5,F,12
GDSC1:1009,1,1.25,F,12
GDSC1:1009,1,0.625,F,12
GDSC1:1009,1,0.3125,F,12
GDSC1:1009,1,0.15625,F,12
GDSC1:1009,1,0.078125,F,12
GDSC1:1009,1,0.0390625,F,12
GDSC1:1032,1,0.5,F,1
GDSC1:1032,1,0.25,F,1
GDSC1:1032,1,0.125,F,1
GDSC1:1032,1,0.0625,F,1
GDSC1:1032,1,0.03125,F,1
GDSC1:1032,1,0.015625,F,1
GDSC1:1032,1,0.0078125,F,1
GDSC1:1032,1,0.00390625,F,1
GDSC1:1032,1,0.001953125,F,1
GDSC1:1008,1,0.2,F,1
GDSC1:1008,1,0.1,F,1
GDSC1:1008,1,0.05,F,1
GDSC1:1008,1,0.025,F,1
GDSC1:1008,1,0.0125,F,1
GDSC1:1008,1,0.00625,F,1
GDSC1:1008,1,0.003125,F,1
GDSC1:1008,1,0.0015625,F,1
GDSC1:1008,1,0.00078125,F,1
GDSC1:1009,1,10.0,F,1
GDSC1:1009,1,5.0,F,1
GDSC1:1009,1,2.5,F,1
GDSC1:1009,1,1.25,F,1
GDSC1:1009,1,0.625,F,1
GDSC1:1009,1,0.3125,F,1
GDSC1:1009,1,0.15625,F,1
GDSC1:1009,1,0.078125,F,1
GDSC1:1009,1,0.0390625,F,1
GDSC1:1032,1,0.5,F,10
GDSC1:1032,1,0.25,F,10
GDSC1:1032,1,0.125,F,10
GDSC1:1032,1,0.0625,F,10
GDSC1:1032,1,0.03125,F,10
GDSC1:1032,1,0.015625,F,10
GDSC1:1032,1,0.0078125,F,10
GDSC1:1032,1,0.00390625,F,10
GDSC1:1032,1,0.001953125,F,10
GDSC1:1008,1,0.2,F,10
GDSC1:1008,1,0.1,F,10
GDSC1:1008,1,0.05,F,10
GDSC1:1008,1,0.025,F,10
GDSC1:1008,1,0.0125,F,10
GDSC1:1008,1,0.00625,F,10
GDSC1:1008,1,0.003125,F,10
GDSC1:1008,1,0.0015625,F,10
GDSC1:1008,1,0.00078125,F,10
GDSC1:1009,1,10.0,F,10
GDSC1:1009,1,5.0,F,10
GDSC1:1009,1,2.5,F,10
GDSC1:1009,1,1.25,F,10
GDSC1:1009,1,0.625,F,10
