cell_line_name,index
ACH-000014,0
ACH-000052,1
ACH-000210,2
ACH-000279,3
ACH-000304,4
ACH-000425,5
ACH-000441,6
ACH-000458,7
ACH-000552,8
ACH-000580,9
ACH-000585,10
ACH-000706,11
ACH-000788,12
ACH-000805,13
ACH-000810,14
ACH-000899,15
ACH-001001,16
ACH-001170,17
ACH-001205,18
