compound_name,replicate,dose,masked,index
CTRP:606135,1,74.0,False,0
CTRP:606135,1,0.036,False,1
CTRP:606135,4,0.29,False,2
CTRP:606135,1,150.0,False,3
CTRP:606135,4,0.58,False,4
CTRP:606135,3,9.2,False,5
CTRP:606135,2,18.0,False,6
CTRP:606135,3,0.009,False,7
CTRP:606135,4,74.0,False,8
CTRP:606135,1,0.072,False,9
CTRP:606135,3,4.6,False,10
CTRP:606135,2,0.018,False,11
CTRP:606135,4,4.6,False,12
CTRP:606135,1,18.0,False,13
CTRP:606135,1,0.14,False,14
CTRP:606135,2,0.036,False,15
CTRP:606135,4,0.0045,False,16
CTRP:606135,2,9.2,False,17
CTRP:606135,2,0.14,False,18
CTRP:606135,1,0.0045,False,19
CTRP:606135,4,1.2,False,20
CTRP:606135,3,0.58,False,21
CTRP:606135,4,18.0,False,22
CTRP:606135,2,0.072,False,23
CTRP:606135,3,1.2,False,24
CTRP:606135,3,2.3,False,25
CTRP:606135,4,37.0,False,26
CTRP:606135,3,0.036,False,27
CTRP:606135,2,4.6,False,28
CTRP:606135,1,0.018,False,29
CTRP:606135,4,150.0,False,30
CTRP:606135,1,37.0,False,31
CTRP:606135,2,1.2,False,32
CTRP:606135,3,0.072,False,33
CTRP:606135,3,74.0,False,34
CTRP:606135,4,0.018,False,35
CTRP:606135,2,0.29,False,36
CTRP:606135,2,0.58,False,37
CTRP:606135,1,9.2,False,38
CTRP:606135,2,0.14,False,39
CTRP:606135,3,0.14,False,40
CTRP:606135,3,150.0,True,41
CTRP:606135,2,0.0045,True,42
CTRP:606135,2,37.0,True,43
CTRP:606135,4,0.036,True,44
CTRP:606135,1,0.009,False,45
CTRP:606135,2,2.3,False,46
CTRP:606135,4,0.009,False,47
CTRP:606135,4,9.2,False,48
CTRP:606135,4,0.14,False,49
CTRP:606135,1,4.6,False,50
CTRP:606135,3,18.0,False,51
CTRP:606135,4,0.072,False,52
CTRP:606135,1,2.3,False,53
CTRP:606135,3,0.0045,False,54
CTRP:606135,2,74.0,False,55
CTRP:606135,3,0.018,False,56
CTRP:606135,2,1.2,False,57
CTRP:606135,1,0.29,False,58
CTRP:606135,2,150.0,False,59
CTRP:606135,1,0.58,False,60
CTRP:606135,2,0.009,False,61
CTRP:606135,1,0.14,False,62
CTRP:606135,1,1.2,False,63
CTRP:606135,3,37.0,False,64
