cell_line_name,index
ACH-000014,11
ACH-000052,33
ACH-000210,124
ACH-000279,167
ACH-000425,264
ACH-000441,275
ACH-000458,287
ACH-000552,351
ACH-000580,369
ACH-000706,453
ACH-000788,510
ACH-000805,522
ACH-000899,592
ACH-001001,672
ACH-001205,701
