target,partner,source
MED1 (5469),SIN3A (25942),ppi
MAP4K4 (9448),FGFR1OP2 (26127),ppi
MED1 (5469),GATA6 (2627),ppi
NRAS (4893),FGF20 (26281),ppi
MAP4K4 (9448),GBP3 (2635),ppi
MED1 (5469),KAT2A (2648),ppi
NRAS (4893),GDNF (2668),ppi
NRAS (4893),GFRA1 (2674),ppi
NRAS (4893),FGF22 (27006),ppi
MED1 (5469),POLL (27343),ppi
NRAS (4893),ANGPT1 (284),ppi
MAP4K4 (9448),SLC25A41 (284427),ppi
MAP4K4 (9448),GRK5 (2869),ppi
MAP4K4 (9448),GRB2 (2885),ppi
NRAS (4893),GRB2 (2885),ppi
NRAS (4893),GRB7 (2886),ppi
NRAS (4893),GRB10 (2887),ppi
NRAS (4893),GRB14 (2888),ppi
NRAS (4893),GRIN1 (2902),ppi
NRAS (4893),GRIN2A (2903),ppi
NRAS (4893),GRIN2B (2904),ppi
NRAS (4893),GRIN2C (2905),ppi
MED1 (5469),MED4 (29079),ppi
NRAS (4893),RACGAP1 (29127),ppi
MED1 (5469),TFCP2L1 (29842),ppi
MAP4K4 (9448),NME7 (29922),ppi
MED1 (5469),NRBP1 (29959),ppi
MAP4K4 (9448),STRN3 (29966),ppi
MED1 (5469),NRBF2 (29982),ppi
HNF1B (6928),HDAC1 (3065),ppi
NRAS (4893),NRG1 (3084),ppi
SOX10 (6663),HHEX (3087),ppi
HNF1B (6928),HNF4A (3172),ppi
NRAS (4893),HNF4A (3172),ppi
NRAS (4893),HRAS (3265),ppi
MAP4K4 (9448),HSP90AA1 (3320),ppi
NRAS (4893),HSP90AA1 (3320),ppi
MAP4K4 (9448),HSP90AB1 (3326),ppi
NRAS (4893),DNAJB1 (3337),ppi
MED1 (5469),ANKRD37 (353322),ppi
NRAS (4893),IL2 (3558),ppi
NRAS (4893),IL2RA (3559),ppi
NRAS (4893),IL2RB (3560),ppi
NRAS (4893),IL2RG (3561),ppi
NRAS (4893),IL3 (3562),ppi
NRAS (4893),IL3RA (3563),ppi
NRAS (4893),IL5 (3567),ppi
NRAS (4893),IL5RA (3568),ppi
NRAS (4893),IRS1 (3667),ppi
MAP4K4 (9448),ITGB1 (3688),ppi
NRAS (4893),ARAF (369),ppi
NRAS (4893),JAK1 (3716),ppi
NRAS (4893),JAK3 (3718),ppi
MAP4K4 (9448),JUN (3725),ppi
FGFR2 (2263),ANOS1 (3730),ppi
FGFR1 (2260),ANOS1 (3730),ppi
FGF2 (2247),ANOS1 (3730),ppi
RAD51 (5888),SWI5 (375757),ppi
MAP4K4 (9448),KIF5A (3798),ppi
NRAS (4893),KIT (3815),ppi
NRAS (4893),KRAS (3845),ppi
SOX10 (6663),SUMO4 (387082),ppi
MAP4K4 (9448),TBPL2 (387332),ppi
SOX10 (6663),HES5 (388585),ppi
MED1 (5469),MED11 (400569),ppi
MAP4K4 (9448),LTBR (4055),ppi
NRAS (4893),SMAD1 (4086),ppi
NRAS (4893),SMAD4 (4089),ppi
NRAS (4893),MARK3 (4140),ppi
MAP4K4 (9448),MDM2 (4193),ppi
NRAS (4893),MDM2 (4193),ppi
MAP4K4 (9448),MAP3K1 (4214),ppi
NRAS (4893),KITLG (4254),ppi
NRAS (4893),AFDN (4301),ppi
MAP4K4 (9448),MSN (4478),ppi
NRAS (4893),NCAM1 (4684),ppi
MAP4K4 (9448),NCK1 (4690),ppi
NRAS (4893),NEFL (4747),ppi
NRAS (4893),NF1 (4763),ppi
FGF17 (8822),NRAS (4893),ppi
FGF19 (9965),NRAS (4893),ppi
EREG (2069),NRAS (4893),ppi
RASGRP1 (10125),NRAS (4893),ppi
NRG2 (9542),NRAS (4893),ppi
RASAL1 (8437),NRAS (4893),ppi
PAK3 (5063),NRAS (4893),ppi
LAT (27040),NRAS (4893),ppi
FRS3 (10817),NRAS (4893),ppi
PSPN (5623),NRAS (4893),ppi
RASGRF2 (5924),NRAS (4893),ppi
RGS12 (6002),NRAS (4893),ppi
GRIN2D (2906),NRAS (4893),ppi
PIK3CD (5293),NRAS (4893),ppi
GFRA3 (2676),NRAS (4893),ppi
FGF18 (8817),NRAS (4893),ppi
SPTBN2 (6712),NRAS (4893),ppi
FBP2 (8789),NRAS (4893),ppi
GFRA2 (2675),NRAS (4893),ppi
ERLIN2 (11160),NRAS (4893),ppi
FRAT2 (23401),NRAS (4893),ppi
JAK2 (3717),NRAS (4893),ppi
FGF16 (8823),NRAS (4893),ppi
EGFR (1956),NRAS (4893),ppi
RASA4 (10156),NRAS (4893),ppi
FGF10 (2255),NRAS (4893),ppi
NRAS (4893),NRTN (4902),ppi
MAP4K4 (9448),NTRK1 (4914),ppi
NRAS (4893),PEBP1 (5037),ppi
MAP4K4 (9448),MINK1 (50488),ppi
NRAS (4893),PAK1 (5058),ppi
NRAS (4893),PAK2 (5062),ppi
NRAS (4893),PAX3 (5077),ppi
NRAS (4893),PAX7 (5081),ppi
HNF1B (6928),PCBD1 (5092),ppi
MED1 (5469),MED31 (51003),ppi
UNC93B1 (81622),GOLT1B (51026),ppi
MAP4K4 (9448),ATL1 (51062),ppi
NRAS (4893),LEF1 (51176),ppi
NRAS (4893),PLCE1 (51196),ppi
UNC93B1 (81622),TLR7 (51284),ppi
UNC93B1 (81622),TLR8 (51311),ppi
NRAS (4893),SPTBN5 (51332),ppi
MAP4K4 (9448),TEX264 (51368),ppi
NRAS (4893),TRMO (51531),ppi
NRAS (4893),PDGFA (5154),ppi
NRAS (4893),PDGFB (5155),ppi
NRAS (4893),PDGFRA (5156),ppi
MED1 (5469),MED15 (51586),ppi
NRAS (4893),PDGFRB (5159),ppi
NRAS (4893),PIK3CA (5290),ppi
NRAS (4893),PIK3CB (5291),ppi
NRAS (4893),PIK3CG (5294),ppi
NRAS (4893),SHC3 (53358),ppi
UNC93B1 (81622),TLR9 (54106),ppi
UNC93B1 (81622),TMCO1 (54499),ppi
SOX10 (6663),POU3F1 (5453),ppi
MAP4K4 (9448),PPARG (5468),ppi
NR2C1 (7181),MED1 (5469),ppi
NR6A1 (2649),MED1 (5469),ppi
NR0B1 (190),MED1 (5469),ppi
HDAC3 (8841),MED1 (5469),ppi
GABPA (2551),MED1 (5469),ppi
ATM (472),MED1 (5469),ppi
NTN3 (4917),MED1 (5469),ppi
PPARA (5465),MED1 (5469),ppi
GATA2 (2624),MED1 (5469),ppi
NR1I3 (9970),MED1 (5469),ppi
NR4A2 (4929),MED1 (5469),ppi
PPARD (5467),MED1 (5469),ppi
NR1I2 (8856),MED1 (5469),ppi
CEBPB (1051),MED1 (5469),ppi
CCNC (892),MED1 (5469),ppi
BAG3 (9531),MED1 (5469),ppi
EMC2 (9694),MED1 (5469),ppi
HNF4G (3174),MED1 (5469),ppi
NCOA2 (10499),MED1 (5469),ppi
ESRRA (2101),MED1 (5469),ppi
YWHAQ (10971),MED1 (5469),ppi
RXRG (6258),MED1 (5469),ppi
MDM2 (4193),MED1 (5469),ppi
MED14 (9282),MED1 (5469),ppi
RORC (6097),MED1 (5469),ppi
TP53 (7157),MED1 (5469),ppi
KLK3 (354),MED1 (5469),ppi
ESRRB (2103),MED1 (5469),ppi
SREBF1 (6720),MED1 (5469),ppi
POLR2F (5435),MED1 (5469),ppi
ESRRG (2104),MED1 (5469),ppi
NTN1 (9423),MED1 (5469),ppi
PPARG (5468),MED1 (5469),ppi
TBL1X (6907),MED1 (5469),ppi
RXRB (6257),MED1 (5469),ppi
AR (367),MED1 (5469),ppi
NR3C1 (2908),MED1 (5469),ppi
GJB5 (2709),MED1 (5469),ppi
BRCA1 (672),MED1 (5469),ppi
NTRK1 (4914),MED1 (5469),ppi
NR1H3 (10062),MED1 (5469),ppi
NR3C2 (4306),MED1 (5469),ppi
KIF1A (547),MED1 (5469),ppi
POLR2E (5434),MED1 (5469),ppi
PARP1 (142),MED1 (5469),ppi
TFCP2 (7024),MED1 (5469),ppi
FABP1 (2168),MED1 (5469),ppi
POU1F1 (5449),MED1 (5469),ppi
NR4A1 (3164),MED1 (5469),ppi
STC2 (8614),MED1 (5469),ppi
EP300 (2033),MED1 (5469),ppi
NCOA6 (23054),MED1 (5469),ppi
MED19 (219541),MED1 (5469),ppi
HNF4A (3172),MED1 (5469),ppi
SIN3B (23309),MED1 (5469),ppi
CDKN1A (1026),MED1 (5469),ppi
VDR (7421),MED1 (5469),ppi
THRA (7067),MED1 (5469),ppi
PODXL (5420),MED1 (5469),ppi
NR5A2 (2494),MED1 (5469),ppi
NR5A1 (2516),MED1 (5469),ppi
HSPA1A (3303),MED1 (5469),ppi
GATA1 (2623),MED1 (5469),ppi
NR1H2 (7376),MED1 (5469),ppi
TCL1B (9623),MED1 (5469),ppi
NR2C2 (7182),MED1 (5469),ppi
POLR2G (5436),MED1 (5469),ppi
GATA4 (2626),MED1 (5469),ppi
MED7 (9443),MED1 (5469),ppi
CRABP1 (1381),MED1 (5469),ppi
MED22 (6837),MED1 (5469),ppi
PLK1 (5347),MED1 (5469),ppi
TFF1 (7031),MED1 (5469),ppi
MYC (4609),MED1 (5469),ppi
RARB (5915),MED1 (5469),ppi
UBC (7316),MED1 (5469),ppi
PGR (5241),MED1 (5469),ppi
FABP4 (2167),MED1 (5469),ppi
NR1D1 (9572),MED1 (5469),ppi
NR1D2 (9975),MED1 (5469),ppi
PIN1 (5300),MED1 (5469),ppi
NR2F1 (7025),MED1 (5469),ppi
CTSD (1509),MED1 (5469),ppi
DDX3X (1654),MED1 (5469),ppi
MED6 (10001),MED1 (5469),ppi
NR0B2 (8431),MED1 (5469),ppi
RARG (5916),MED1 (5469),ppi
NR2F6 (2063),MED1 (5469),ppi
RORA (6095),MED1 (5469),ppi
GLI3 (2737),MED1 (5469),ppi
SUPT3H (8464),MED1 (5469),ppi
BRD4 (23476),MED1 (5469),ppi
MED24 (9862),MED1 (5469),ppi
THRB (7068),MED1 (5469),ppi
TAF1 (6872),MED1 (5469),ppi
RXRA (6256),MED1 (5469),ppi
ESR1 (2099),MED1 (5469),ppi
NCOR1 (9611),MED1 (5469),ppi
CDK8 (1024),MED1 (5469),ppi
MED21 (9412),MED1 (5469),ppi
SUPT7L (9913),MED1 (5469),ppi
SREBF2 (6721),MED1 (5469),ppi
RARA (5914),MED1 (5469),ppi
GATA3 (2625),MED1 (5469),ppi
CDK9 (1025),MED1 (5469),ppi
MED26 (9441),MED1 (5469),ppi
MAP4K4 (9448),ZRANB1 (54764),ppi
MED1 (5469),MED18 (54797),ppi
MAP4K4 (9448),PPP1CA (5499),ppi
MAP4K4 (9448),PPP1CC (5501),ppi
NRAS (4893),STX17 (55014),ppi
MAP4K4 (9448),KIF26B (55083),ppi
MED1 (5469),MED9 (55090),ppi
NRAS (4893),PPP2CA (5515),ppi
MAP4K4 (9448),PPP2CB (5516),ppi
NRAS (4893),PPP2CB (5516),ppi
MED1 (5469),FBXW7 (55294),ppi
SOX10 (6663),FBXW7 (55294),ppi
NRAS (4893),PPP5C (5536),ppi
NRAS (4893),HEMGN (55363),ppi
MED1 (5469),MED29 (55588),ppi
MED1 (5469),PPP4R3A (55671),ppi
MAP4K4 (9448),PRKCE (5581),ppi
NRAS (4893),MAPK1 (5594),ppi
NRAS (4893),MAPK3 (5595),ppi
NRAS (4893),MAP2K1 (5604),ppi
NRAS (4893),MAP2K2 (5605),ppi
UNC93B1 (81622),TM9SF3 (56889),ppi
MAP4K4 (9448),PTGER3 (5733),ppi
NRAS (4893),PTK2 (5747),ppi
NRAS (4893),SPTBN4 (57731),ppi
NRAS (4893),PTPRA (5786),ppi
NRAS (4893),RABGGTB (5876),ppi
NRAS (4893),RAF1 (5894),ppi
NRAS (4893),RALA (5898),ppi
NRAS (4893),RALB (5899),ppi
NRAS (4893),RALGDS (5900),ppi
NRAS (4893),RAP1GDS1 (5910),ppi
MAP4K4 (9448),RASA1 (5921),ppi
NRAS (4893),RASA1 (5921),ppi
NRAS (4893),RASA2 (5922),ppi
NRAS (4893),RASGRF1 (5923),ppi
NRAS (4893),RET (5979),ppi
MAP4K4 (9448),RNH1 (6050),ppi
SOX10 (6663),ALX4 (60529),ppi
MED1 (5469),RORB (6096),ppi
NRAS (4893),RPS20 (6224),ppi
NRAS (4893),RPS27A (6233),ppi
ANOS1 (3730),SDC2 (6383),ppi
UNC93B1 (81622),SEL1L (6400),ppi
NRAS (4893),GFRA4 (64096),ppi
NRAS (4893),SFRP4 (6424),ppi
NRAS (4893),SHC1 (6464),ppi
NRAS (4893),SMURF2 (64750),ppi
NRAS (4893),RASAL3 (64926),ppi
MAP4K4 (9448),SLC9A1 (6548),ppi
NRAS (4893),SOS1 (6654),ppi
PAX6 (5080),SOX10 (6663),ppi
MEOX2 (4223),SOX10 (6663),ppi
SUMO3 (6612),SOX10 (6663),ppi
EXOC5 (10640),SOX10 (6663),ppi
DLX5 (1749),SOX10 (6663),ppi
UBC (7316),SOX10 (6663),ppi
EGR2 (1959),SOX10 (6663),ppi
HNF4A (3172),SOX10 (6663),ppi
TCF4 (6925),SOX10 (6663),ppi
SP1 (6667),SOX10 (6663),ppi
PAX3 (5077),SOX10 (6663),ppi
HIVEP1 (3096),SOX10 (6663),ppi
POU3F2 (5454),SOX10 (6663),ppi
JUN (3725),SOX10 (6663),ppi
HOXA3 (3200),SOX10 (6663),ppi
GSK3B (2932),SOX10 (6663),ppi
POU3F4 (5456),SOX10 (6663),ppi
CEBPA (1050),SOX10 (6663),ppi
MEOX1 (4222),SOX10 (6663),ppi
POU3F3 (5455),SOX10 (6663),ppi
HOXB3 (3213),SOX10 (6663),ppi
NRAS (4893),SPTA1 (6708),ppi
NRAS (4893),SPTAN1 (6709),ppi
NRAS (4893),SPTB (6710),ppi
NRAS (4893),SPTBN1 (6711),ppi
NRAS (4893),SRI (6717),ppi
MAP4K4 (9448),BRCA1 (672),ppi
NRAS (4893),BRAF (673),ppi
NRAS (4893),BTC (685),ppi
NRAS (4893),TAF1 (6872),ppi
NRAS (4893),BTF3 (689),ppi
HNF1A (6927),HNF1B (6928),ppi
ATF1 (466),HNF1B (6928),ppi
CREB1 (1385),HNF1B (6928),ppi
SOX10 (6663),TCF12 (6938),ppi
NRAS (4893),TEK (7010),ppi
MED1 (5469),NR2E1 (7101),ppi
NRAS (4893),UBA52 (7311),ppi
NRAS (4893),UBB (7314),ppi
MAP4K4 (9448),UBC (7316),ppi
NRAS (4893),UBC (7316),ppi
SOX10 (6663),UBE2I (7329),ppi
SOX10 (6663),SUMO1 (7341),ppi
MED1 (5469),UBP1 (7342),ppi
MAP4K4 (9448),EZR (7430),ppi
NRAS (4893),CORO2A (7464),ppi
NRAS (4893),XPA (7507),ppi
NRAS (4893),YWHAB (7529),ppi
MED1 (5469),LUZP1 (7798),ppi
NRAS (4893),MAPKAPK3 (7867),ppi
MED1 (5469),TBL1XR1 (79718),ppi
MED1 (5469),STN1 (79991),ppi
MED1 (5469),NR4A3 (8013),ppi
MED1 (5469),MED28 (80306),ppi
NRAS (4893),SHOC2 (8036),ppi
NRAS (4893),CALM2 (805),ppi
NRAS (4893),FGF23 (8074),ppi
NRAS (4893),CAMK2A (815),ppi
NRAS (4893),CAMK2B (816),ppi
SURF4 (6836),UNC93B1 (81622),ppi
YIPF3 (25844),UNC93B1 (81622),ppi
STT3A (3703),UNC93B1 (81622),ppi
CCDC47 (57003),UNC93B1 (81622),ppi
CLPTM1L (81037),UNC93B1 (81622),ppi
LPGAT1 (9926),UNC93B1 (81622),ppi
FASTKD5 (60493),UNC93B1 (81622),ppi
ABCC1 (4363),UNC93B1 (81622),ppi
DDOST (1650),UNC93B1 (81622),ppi
CLPTM1 (1209),UNC93B1 (81622),ppi
HM13 (81502),UNC93B1 (81622),ppi
IRAK1 (3654),UNC93B1 (81622),ppi
TCTN3 (26123),UNC93B1 (81622),ppi
YIPF5 (81555),UNC93B1 (81622),ppi
UBC (7316),UNC93B1 (81622),ppi
MBOAT7 (79143),UNC93B1 (81622),ppi
TM9SF2 (9375),UNC93B1 (81622),ppi
SCAMP3 (10067),UNC93B1 (81622),ppi
TLR3 (7098),UNC93B1 (81622),ppi
PIGN (23556),UNC93B1 (81622),ppi
NPC1 (4864),UNC93B1 (81622),ppi
ANKHD1 (54882),UNC93B1 (81622),ppi
CDIPT (10423),UNC93B1 (81622),ppi
STT3B (201595),UNC93B1 (81622),ppi
NRAS (4893),CAMK2D (817),ppi
NRAS (4893),CAMK2G (818),ppi
MED1 (5469),MED25 (81857),ppi
MED1 (5469),NCOA3 (8202),ppi
MED1 (5469),TRRAP (8295),ppi
NRAS (4893),BRAP (8315),ppi
MAP4K4 (9448),HIST2H2BE (8349),ppi
HNF1B (6928),HIST1H3J (8356),ppi
NRAS (4893),RASSF5 (83593),ppi
MAP4K4 (9448),TRAPPC9 (83696),ppi
UNC93B1 (81622),SPNS1 (83985),ppi
MED1 (5469),MED10 (84246),ppi
SOX10 (6663),UTF1 (8433),ppi
NRAS (4893),TMEM185A (84548),ppi
NRAS (4893),C9orf3 (84909),ppi
MED1 (5469),HELZ2 (85441),ppi
MED1 (5469),NCOA1 (8648),ppi
NRAS (4893),IRS2 (8660),ppi
NRAS (4893),ACTN2 (88),ppi
NRAS (4893),SYNGAP1 (8831),ppi
NRAS (4893),KSR1 (8844),ppi
HNF1B (6928),KAT2B (8850),ppi
NRAS (4893),SPHK1 (8877),ppi
SOX10 (6663),HERC1 (8925),ppi
NRAS (4893),ACVR1 (90),ppi
MED1 (5469),MED30 (90390),ppi
NRAS (4893),ARTN (9048),ppi
SOX10 (6663),NMI (9111),ppi
NRAS (4893),BTF3L4 (91408),ppi
MED1 (5469),CTDP1 (9150),ppi
MAP4K4 (9448),MOB1B (92597),ppi
MED1 (5469),TRIP4 (9325),ppi
NRAS (4893),KL (9365),ppi
MED1 (5469),MED23 (9439),ppi
MED1 (5469),MED17 (9440),ppi
MED1 (5469),MED27 (9442),ppi
MED1 (5469),QKI (9444),ppi
STRN (6801),MAP4K4 (9448),ppi
MAP3K7 (6885),MAP4K4 (9448),ppi
HEPACAM2 (253012),MAP4K4 (9448),ppi
XPO1 (7514),MAP4K4 (9448),ppi
NCK2 (8440),MAP4K4 (9448),ppi
CEP290 (80184),MAP4K4 (9448),ppi
CEP152 (22995),MAP4K4 (9448),ppi
OBSL1 (23363),MAP4K4 (9448),ppi
NRAS (4893),RASAL2 (9462),ppi
MED1 (5469),MED20 (9477),ppi
MED1 (5469),NCOR2 (9612),ppi
MAP4K4 (9448),ABCG1 (9619),ppi
MED1 (5469),TGS1 (96764),ppi
MED1 (5469),GREB1 (9687),ppi
NRAS (4893),RAPGEF2 (9693),ppi
TLR3 (7098),TRIL (9865),ppi
MED1 (5469),THRAP3 (9967),ppi
MED1 (5469),MED12 (9968),ppi
MED1 (5469),MED13 (9969),ppi
MED1 (5469),NR1H4 (9971),ppi
NR2E3 (10002),MED1 (5469),ppi
MED16 (10025),MED1 (5469),ppi
CCDC180 (100499483),NRAS (4893),ppi
AKAP9 (10142),NRAS (4893),ppi
CDK6 (1021),SOX10 (6663),ppi
OLIG2 (10215),SOX10 (6663),ppi
NXF1 (10482),UNC93B1 (81622),ppi
SPAG5 (10615),MED1 (5469),ppi
FRS2 (10818),NRAS (4893),ppi
PPARGC1A (10891),MED1 (5469),ppi
CNTRL (11064),MAP4K4 (9448),ppi
CDC37 (11140),NRAS (4893),ppi
MED8 (112950),MED1 (5469),ppi
RASGRP4 (115727),NRAS (4893),ppi
FOXP4 (116113),NRAS (4893),ppi
SFR1 (119392),SWI5 (375757),ppi
NR2C2AP (126382),MED1 (5469),ppi
CREBBP (1387),HNF1B (6928),ppi
CREBBP (1387),MED1 (5469),ppi
CSF2 (1437),NRAS (4893),ppi
CSF2RA (1438),NRAS (4893),ppi
CSF2RB (1439),NRAS (4893),ppi
NRG4 (145957),NRAS (4893),ppi
KLB (152831),NRAS (4893),ppi
DAB2IP (153090),NRAS (4893),ppi
CYLC2 (1539),NRAS (4893),ppi
DLG4 (1742),NRAS (4893),ppi
HBEGF (1839),NRAS (4893),ppi
EEF1A1 (1915),NRAS (4893),ppi
EGF (1950),NRAS (4893),ppi
ELAVL1 (1994),NRAS (4893),ppi
ELAVL1 (1994),MED1 (5469),ppi
TMEM17 (200728),MAP4K4 (9448),ppi
EPAS1 (2034),SOX10 (6663),ppi
EPAS1 (2034),MED1 (5469),ppi
ERBB2 (2064),NRAS (4893),ppi
ERBB3 (2065),NRAS (4893),ppi
ERBB4 (2066),NRAS (4893),ppi
AKT1 (207),NRAS (4893),ppi
ESR2 (2100),MED1 (5469),ppi
EZH2 (2146),MED1 (5469),ppi
FANCC (2176),NRAS (4893),ppi
FARSA (2193),UNC93B1 (81622),ppi
RASGEF1A (221002),NRAS (4893),ppi
FGF1 (2246),NRAS (4893),ppi
FGF2 (2247),NRAS (4893),ppi
FGF3 (2248),NRAS (4893),ppi
FGF4 (2249),NRAS (4893),ppi
FGF5 (2250),NRAS (4893),ppi
FGF6 (2251),NRAS (4893),ppi
FGF7 (2252),NRAS (4893),ppi
FGF8 (2253),NRAS (4893),ppi
FGF9 (2254),NRAS (4893),ppi
FGFR1 (2260),NRAS (4893),ppi
FGFR3 (2261),NRAS (4893),ppi
FGFR2 (2263),NRAS (4893),ppi
FGFR4 (2264),NRAS (4893),ppi
RASA3 (22821),NRAS (4893),ppi
ALDOB (229),NRAS (4893),ppi
PAXIP1 (22976),MAP4K4 (9448),ppi
ZC3H13 (23091),MED1 (5469),ppi
CDK19 (23097),MED1 (5469),ppi
RGL1 (23179),NRAS (4893),ppi
FBXO28 (23219),NRAS (4893),ppi
MED13L (23389),MED1 (5469),ppi
TDRD7 (23424),NRAS (4893),ppi
FYN (2534),NRAS (4893),ppi
SHC2 (25759),NRAS (4893),ppi
RASGRP3 (25780),NRAS (4893),ppi
SIN3A (25942),MED1 (5469),ppi
FGFR1OP2 (26127),MAP4K4 (9448),ppi
GATA6 (2627),MED1 (5469),ppi
FGF20 (26281),NRAS (4893),ppi
GBP3 (2635),MAP4K4 (9448),ppi
KAT2A (2648),MED1 (5469),ppi
GDNF (2668),NRAS (4893),ppi
GFRA1 (2674),NRAS (4893),ppi
FGF22 (27006),NRAS (4893),ppi
POLL (27343),MED1 (5469),ppi
ANGPT1 (284),NRAS (4893),ppi
SLC25A41 (284427),MAP4K4 (9448),ppi
GRK5 (2869),MAP4K4 (9448),ppi
GRB2 (2885),MAP4K4 (9448),ppi
GRB2 (2885),NRAS (4893),ppi
GRB7 (2886),NRAS (4893),ppi
GRB10 (2887),NRAS (4893),ppi
GRB14 (2888),NRAS (4893),ppi
GRIN1 (2902),NRAS (4893),ppi
GRIN2A (2903),NRAS (4893),ppi
GRIN2B (2904),NRAS (4893),ppi
GRIN2C (2905),NRAS (4893),ppi
MED4 (29079),MED1 (5469),ppi
RACGAP1 (29127),NRAS (4893),ppi
TFCP2L1 (29842),MED1 (5469),ppi
NME7 (29922),MAP4K4 (9448),ppi
NRBP1 (29959),MED1 (5469),ppi
STRN3 (29966),MAP4K4 (9448),ppi
NRBF2 (29982),MED1 (5469),ppi
HDAC1 (3065),HNF1B (6928),ppi
NRG1 (3084),NRAS (4893),ppi
HHEX (3087),SOX10 (6663),ppi
HNF4A (3172),HNF1B (6928),ppi
HNF4A (3172),NRAS (4893),ppi
HRAS (3265),NRAS (4893),ppi
HSP90AA1 (3320),MAP4K4 (9448),ppi
HSP90AA1 (3320),NRAS (4893),ppi
HSP90AB1 (3326),MAP4K4 (9448),ppi
DNAJB1 (3337),NRAS (4893),ppi
ANKRD37 (353322),MED1 (5469),ppi
IL2 (3558),NRAS (4893),ppi
IL2RA (3559),NRAS (4893),ppi
IL2RB (3560),NRAS (4893),ppi
IL2RG (3561),NRAS (4893),ppi
IL3 (3562),NRAS (4893),ppi
IL3RA (3563),NRAS (4893),ppi
IL5 (3567),NRAS (4893),ppi
IL5RA (3568),NRAS (4893),ppi
IRS1 (3667),NRAS (4893),ppi
ITGB1 (3688),MAP4K4 (9448),ppi
ARAF (369),NRAS (4893),ppi
JAK1 (3716),NRAS (4893),ppi
JAK3 (3718),NRAS (4893),ppi
JUN (3725),MAP4K4 (9448),ppi
ANOS1 (3730),FGFR2 (2263),ppi
ANOS1 (3730),FGFR1 (2260),ppi
ANOS1 (3730),FGF2 (2247),ppi
SWI5 (375757),RAD51 (5888),ppi
KIF5A (3798),MAP4K4 (9448),ppi
KIT (3815),NRAS (4893),ppi
KRAS (3845),NRAS (4893),ppi
SUMO4 (387082),SOX10 (6663),ppi
TBPL2 (387332),MAP4K4 (9448),ppi
HES5 (388585),SOX10 (6663),ppi
MED11 (400569),MED1 (5469),ppi
LTBR (4055),MAP4K4 (9448),ppi
SMAD1 (4086),NRAS (4893),ppi
SMAD4 (4089),NRAS (4893),ppi
