target,partner,source
MED1 (5469),NR2E3 (10002),ppi
MED1 (5469),MED16 (10025),ppi
NRAS (4893),CCDC180 (100499483),ppi
NRAS (4893),AKAP9 (10142),ppi
SOX10 (6663),CDK6 (1021),ppi
SOX10 (6663),OLIG2 (10215),ppi
UNC93B1 (81622),NXF1 (10482),ppi
MED1 (5469),SPAG5 (10615),ppi
NRAS (4893),FRS2 (10818),ppi
MED1 (5469),PPARGC1A (10891),ppi
MAP4K4 (9448),CNTRL (11064),ppi
NRAS (4893),CDC37 (11140),ppi
MED1 (5469),MED8 (112950),ppi
NRAS (4893),RASGRP4 (115727),ppi
NRAS (4893),FOXP4 (116113),ppi
SWI5 (375757),SFR1 (119392),ppi
MED1 (5469),NR2C2AP (126382),ppi
HNF1B (6928),CREBBP (1387),ppi
MED1 (5469),CREBBP (1387),ppi
NRAS (4893),CSF2 (1437),ppi
NRAS (4893),CSF2RA (1438),ppi
NRAS (4893),CSF2RB (1439),ppi
NRAS (4893),NRG4 (145957),ppi
NRAS (4893),KLB (152831),ppi
NRAS (4893),DAB2IP (153090),ppi
NRAS (4893),CYLC2 (1539),ppi
NRAS (4893),DLG4 (1742),ppi
NRAS (4893),HBEGF (1839),ppi
NRAS (4893),EEF1A1 (1915),ppi
NRAS (4893),EGF (1950),ppi
NRAS (4893),ELAVL1 (1994),ppi
MED1 (5469),ELAVL1 (1994),ppi
MAP4K4 (9448),TMEM17 (200728),ppi
SOX10 (6663),EPAS1 (2034),ppi
MED1 (5469),EPAS1 (2034),ppi
NRAS (4893),ERBB2 (2064),ppi
NRAS (4893),ERBB3 (2065),ppi
NRAS (4893),ERBB4 (2066),ppi
NRAS (4893),AKT1 (207),ppi
MED1 (5469),ESR2 (2100),ppi
MED1 (5469),EZH2 (2146),ppi
NRAS (4893),FANCC (2176),ppi
UNC93B1 (81622),FARSA (2193),ppi
NRAS (4893),RASGEF1A (221002),ppi
NRAS (4893),FGF1 (2246),ppi
NRAS (4893),FGF2 (2247),ppi
NRAS (4893),FGF3 (2248),ppi
NRAS (4893),FGF4 (2249),ppi
NRAS (4893),FGF5 (2250),ppi
NRAS (4893),FGF6 (2251),ppi
NRAS (4893),FGF7 (2252),ppi
NRAS (4893),FGF8 (2253),ppi
NRAS (4893),FGF9 (2254),ppi
NRAS (4893),FGFR1 (2260),ppi
NRAS (4893),FGFR3 (2261),ppi
NRAS (4893),FGFR2 (2263),ppi
NRAS (4893),FGFR4 (2264),ppi
NRAS (4893),RASA3 (22821),ppi
NRAS (4893),ALDOB (229),ppi
MAP4K4 (9448),PAXIP1 (22976),ppi
MED1 (5469),ZC3H13 (23091),ppi
MED1 (5469),CDK19 (23097),ppi
NRAS (4893),RGL1 (23179),ppi
NRAS (4893),FBXO28 (23219),ppi
MED1 (5469),MED13L (23389),ppi
NRAS (4893),TDRD7 (23424),ppi
NRAS (4893),FYN (2534),ppi
NRAS (4893),SHC2 (25759),ppi
NRAS (4893),RASGRP3 (25780),ppi
