UniprotID,Symbol,EntrezID,Label
P01111,NRAS,4893,P01111 (NRAS)
P23352,ANOS1,3730,P23352 (ANOS1)
P35680,HNF1B,6928,P35680 (HNF1B)
O95819,MAP4K4,9448,O95819 (MAP4K4)
Q15648,MED1,5469,Q15648 (MED1)
P56693,SOX10,6663,P56693 (SOX10)
Q1ZZU3,SWI5,375757,Q1ZZU3 (SWI5)
Q63HR2,TNS2,23371,Q63HR2 (TNS2)
Q9H1C4,UNC93B1,81622,Q9H1C4 (UNC93B1)
Q6ZMT4,KDM7A,80853,Q6ZMT4 (KDM7A)
Q7L0X0,TRIL,9865,Q7L0X0 (TRIL)
O95819-5,MAP4K4,9448,O95819-5 (MAP4K4)
Q63HR2-4,TNS2,23371,Q63HR2-4 (TNS2)
