v1,v2,weight,set
KDM7A,UNC93B1,0.3933839908318532,2
MED1,HNF1B,0.31510422181523906,3
NRAS,ANOS1,0.22366457637893994,3
NRAS,KDM7A,0.19351035060830024,3
ANOS1,HNF1B,0.18204454008182824,3
