"","feature","effect","sig"
"147","BASP1",-1.06717898283809,2.16185492110216
"148","IFI16",-1.06641570407948,2.68306211370425
"149","GLIPR1",-1.06316462122126,3.70536480453946
"150","TNFAIP2",-1.06299193810126,2.65454397472456
"151","CCDC80",-1.05599015350916,2.45933765043815
"152","CD74",-1.0558967171142,1.96700372973667
"153","HCLS1",-1.05451400451525,3.07404597699683
"154","TRIM22",-1.05206565642573,3.82280905654772
"155","PLAUR",-1.04418086910553,4.54091565731419
"156","FLI1",-1.04047511443392,4.57072526012676
"157","CD68",-1.03798776236325,2.97701624358891
"158","WIPF1",-1.03354933475611,3.84889591001695
"159","LAPTM5",-1.03001073948191,3.14852620200533
"160","DOCK2",-1.022039707393,4.28920303014129
"161","ITGA5",-1.02046398783414,3.23269430391728
"162","VEGFC",-1.01950949692583,3.93607727789806
"163","IGFBP6",-1.01305140064078,2.56261304639077
"164","ARHGAP22",-1.01014434779661,5.52278515132857
"165","TIE1",-1.00818219731583,8.69526187297607
"166","CYBRD1",-0.992104011081191,3.63450479902806
"167","EHD2",-0.985951301138749,2.9675413883312
"168","CCN2",-0.982148503676264,2.24517768216825
"169","COL5A2",-0.976103062478738,2.31984787532513
"170","FILIP1L",-0.971764538783862,5.18099489297181
"171","PLAC8",-0.966257086152014,2.16313509020366
"172","PEAR1",-0.959885715946513,7.34948509764666
"173","IL1B",-0.954756091190399,2.84531272849313
"174","MRC2",-0.952934601656399,2.71107666623358
"175","PLAT",-0.950978735786464,2.06088877271019
"176","RAB31",-0.948060824870013,3.7546468736191
"177","GPX7",-0.94379245559826,3.46305600385323
"178","PLOD2",-0.941735413073813,2.71042878116939
"179","FERMT3",-0.927764597843691,3.59053752595627
"180","SLFN12",-0.926284161187123,4.7194476737414
"181","PYCARD",-0.926219324921631,2.53758198196894
"182","TOR4A",-0.926206875954437,4.51520397497146
"183","LOXL2",-0.92598594714366,1.87721285150163
"184","CAV2",-0.923132774688378,2.00429263876675
"185","ARMCX2",-0.918746381804062,2.83281199608328
"186","CYTL1",-0.915041241649009,4.23677552258882
"187","ICAM2",-0.909918106535793,3.10147075661205
"188","DLC1",-0.909513411010811,3.30293689764166
"189","NTM",-0.904308145111784,4.1569784445135
"190","GMFG",-0.899204009752514,2.5702400310335
"191","SLC14A1",-0.897251263527476,4.99603773289918
"192","KCNMA1",-0.896060516474169,2.4829957538295
"193","GYPC",-0.895068474149116,1.87071293129811
"194","LOXL1",-0.89428640279054,2.75709463721687
"195","RGS4",-0.892641869377849,2.47235665691421
"196","ANXA1",-0.887060212942621,1.70518256856695
"197","G0S2",-0.882999981105426,1.97644168829567
"198","PTN",-0.878192674968057,2.76567876570041
"199","VEPH1",-0.876181041387961,3.91662161513223
"200","AKAP2",-0.870660623131489,3.327302418673
