,PR-QmkJ5E,PR-XkWGDu,PR-391OtC,PR-dDIfct,PR-q6QIQQ,PR-Olj6Go,PR-oFLYxy,PR-FbZKpA,PR-8yAIet,PR-xt1s9k,PR-TuCs4Z,PR-uzeoir,PR-itqIbv,PR-g1gg8O,PR-6vZTuK,PR-5EAjfk,PR-YQSFEe,PR-97KrpJ,PR-tGVeMK,PR-711hbz,PR-BaBtLP,PR-juB1P8,PR-dIXDm8,PR-K5EUMa,PR-AsIpQ0,PR-XZ0NkH,PR-aIfhoc,PR-TnhbP6,PR-AQdP9q,PR-aZnSMf,PR-5nAkgO,PR-PfPZdy,PR-EU2Ewv,PR-h2XOKt
TCGA-DJ-A1QL-01,143.23041184018547,143.23041184018547,146.83618440088628,146.83618440088628,144.3323298716458,144.3323298716458,146.50576586030218,146.50576586030218,157.19345475921355,157.19345475921355,152.5474513638591,152.5474513638591,153.57081228935397,153.57081228935397,137.40499053371323,137.40499053371323,159.63741820653388,159.63741820653388,155.55674555995014,155.55674555995014,153.29517745778807,153.29517745778807,157.28661552705103,157.28661552705103,151.8414085915311,151.8414085915311,157.954009377791,157.954009377791,124.54430710991812,124.54430710991812,144.91933234496122,144.91933234496122,154.05802071288778,154.05802071288778
TH27_1454_S01,172.6445282600062,172.6445282600062,176.17048505438734,176.17048505438734,182.04945544285,182.04945544285,181.1721286982624,181.1721286982624,176.57585741355308,176.57585741355308,164.89599219909664,164.89599219909664,181.22663611897525,181.22663611897525,165.8241811882786,165.8241811882786,178.55002883015297,178.55002883015297,183.6098313182194,183.6098313182194,180.419802363164,180.419802363164,184.8094746432148,184.8094746432148,167.52788451063097,167.52788451063097,179.26563231547732,179.26563231547732,180.76034543469143,180.76034543469143,162.40516675217367,162.40516675217367,184.2125720552158,184.2125720552158
TCGA-BF-A5ES-01,81.02008811529913,81.02008811529913,59.89329404116761,59.89329404116761,92.52699377671266,92.52699377671266,79.20646707140044,79.20646707140044,142.20960356239124,142.20960356239124,155.18875647550706,155.18875647550706,74.56964808119002,74.56964808119002,122.7820732053767,122.7820732053767,164.5499216258482,164.5499216258482,98.03624634701607,98.03624634701607,45.02132855252757,45.02132855252757,153.79286908897126,153.79286908897126,155.86308194359728,155.86308194359728,32.268397271574415,32.268397271574415,135.08699077443023,135.08699077443023,148.49298057541233,148.49298057541233,69.17302348109256,69.17302348109256
TCGA-V1-A8MM-01,134.00155650314687,134.00155650314687,139.83419624568168,139.83419624568168,139.1873427697983,139.1873427697983,141.59278813471647,141.59278813471647,137.42054248872597,137.42054248872597,148.27645906630434,148.27645906630434,141.27896439496573,141.27896439496573,133.26315882677375,133.26315882677375,131.26592894235264,131.26592894235264,150.92914940667063,150.92914940667063,141.64647527655268,141.64647527655268,131.75437102966566,131.75437102966566,148.71285827133363,148.71285827133363,147.17795672347987,147.17795672347987,121.79547147923827,121.79547147923827,132.2357483943123,132.2357483943123,143.37371551604537,143.37371551604537
TCGA-WB-A81D-01,162.13260044772937,162.13260044772937,164.28596281121813,164.28596281121813,156.30465556774772,156.30465556774772,164.62599071720194,164.62599071720194,176.7267004314526,176.7267004314526,165.3352371530289,165.3352371530289,165.96194762477404,165.96194762477404,151.52324009646412,151.52324009646412,193.73268164444423,193.73268164444423,165.3447788608877,165.3447788608877,170.48895336054048,170.48895336054048,187.1203360139315,187.1203360139315,161.9901582895158,161.9901582895158,173.57510216864495,173.57510216864495,164.22393586881086,164.22393586881086,137.5355031685874,137.5355031685874,173.34620927134955,173.34620927134955
TCGA-A2-A0YL-01,124.43827426283396,124.43827426283396,132.8594928297404,132.8594928297404,131.68646886720222,131.68646886720222,128.52280860785692,128.52280860785692,105.782926297835,105.782926297835,153.07847672482015,153.07847672482015,130.79129987374327,130.79129987374327,115.1933839447655,115.1933839447655,130.65403778242992,130.65403778242992,135.17828483412302,135.17828483412302,136.5703732221039,136.5703732221039,123.453404206193,123.453404206193,152.295063299972,152.295063299972,137.31936820602098,137.31936820602098,109.64034160949976,109.64034160949976,150.5882965712256,150.5882965712256,130.0619687642716,130.0619687642716
TCGA-53-7813-01,120.7635497617009,120.7635497617009,129.13520255112763,129.13520255112763,139.08444171443452,139.08444171443452,132.126652051989,132.126652051989,97.38403673298072,97.38403673298072,147.26610187084356,147.26610187084356,137.40952676802354,137.40952676802354,103.0023021906389,103.0023021906389,107.64844840450608,107.64844840450608,143.68070420642638,143.68070420642638,136.80852700182535,136.80852700182535,106.87523968255174,106.87523968255174,148.3628392393467,148.3628392393467,139.74633076189872,139.74633076189872,92.26776462912792,92.26776462912792,148.4071481645346,148.4071481645346,138.01965229747154,138.01965229747154
TCGA-RW-A68D-01,157.66052551753845,157.66052551753845,160.825864586939,160.825864586939,151.99305185108977,151.99305185108977,160.5268103067239,160.5268103067239,172.03061982093072,172.03061982093072,157.34686003406225,157.34686003406225,162.37480359575414,162.37480359575414,145.11822649769246,145.11822649769246,189.98952674231512,189.98952674231512,160.4052935356778,160.4052935356778,168.09937349879954,168.09937349879954,182.6665156250251,182.6665156250251,153.0491163400326,153.0491163400326,170.44600974337763,170.44600974337763,160.61363669475793,160.61363669475793,127.93252922369862,127.93252922369862,169.10584419384364,169.10584419384364
TCGA-61-1907-01,127.01595046283256,127.01595046283256,135.29078097355057,135.29078097355057,139.17474415856324,139.17474415856324,139.06006801986948,139.06006801986948,104.16779142912152,104.16779142912152,147.49574075127296,147.49574075127296,139.57767494509437,139.57767494509437,105.92258563034856,105.92258563034856,117.80231347354672,117.80231347354672,148.48886193115726,148.48886193115726,138.732320650492,138.732320650492,118.05982677106044,118.05982677106044,147.15363865841655,147.15363865841655,137.7326994745306,137.7326994745306,109.33848128061878,109.33848128061878,148.37133678325006,148.37133678325006,141.52647328319742,141.52647328319742
TCGA-3A-A9I9-01,136.88364705070774,136.88364705070774,140.65324771185269,140.65324771185269,145.8683900490272,145.8683900490272,142.04602522385653,142.04602522385653,104.27466154010536,104.27466154010536,166.75388423453245,166.75388423453245,150.13211886908715,150.13211886908715,124.37317324756918,124.37317324756918,72.57836771825868,72.57836771825868,153.66146005930366,153.66146005930366,147.7322021351725,147.7322021351725,111.9280622974664,111.9280622974664,163.85410474448247,163.85410474448247,151.14663988403464,151.14663988403464,97.64267473669432,97.64267473669432,157.09998960370274,157.09998960370274,148.04097783126946,148.04097783126946
TCGA-P5-A5EY-01,153.84476864628493,153.84476864628493,153.46475695091686,153.46475695091686,147.76907214712085,147.76907214712085,150.29957970231143,150.29957970231143,178.91297440918842,178.91297440918842,164.33537901783313,164.33537901783313,156.24088320269448,156.24088320269448,145.56818941468148,145.56818941468148,204.7999205539544,204.7999205539544,143.45559412945687,143.45559412945687,157.8387998157223,157.8387998157223,192.7089516050382,192.7089516050382,158.88884826806853,158.88884826806853,159.1436903499132,159.1436903499132,163.87587897675263,163.87587897675263,136.6471660880422,136.6471660880422,151.12499324488329,151.12499324488329
THR30_0830_S01,134.01388505104867,134.01388505104867,137.62442485916873,137.62442485916873,139.30083368858087,139.30083368858087,138.9422818338889,138.9422818338889,147.82410078293466,147.82410078293466,30.380898141851286,30.380898141851286,147.24166346572343,147.24166346572343,121.35627880929292,121.35627880929292,167.7533190923168,167.7533190923168,138.72551993136926,138.72551993136926,146.0302992735474,146.0302992735474,159.15719020457342,159.15719020457342,36.8161221476148,36.8161221476148,145.5286645042331,145.5286645042331,134.0311620907681,134.0311620907681,85.54524386790845,85.54524386790845,145.43935155826188,145.43935155826188
TARGET-10-PAPEAB-04,154.50945817915323,154.50945817915323,160.39680906724416,160.39680906724416,166.92738209521391,166.92738209521391,165.1615221169764,165.1615221169764,155.55081788362062,155.55081788362062,162.9497478119858,162.9497478119858,164.6070047417668,164.6070047417668,142.32349011319153,142.32349011319153,167.3427908191278,167.3427908191278,164.35400745061793,164.35400745061793,160.80589949759155,160.80589949759155,161.96496709216305,161.96496709216305,162.34067166781924,162.34067166781924,159.3905396340187,159.3905396340187,165.9745769573925,165.9745769573925,152.63866231084694,152.63866231084694,159.74725694333952,159.74725694333952
TCGA-EK-A3GJ-01,147.2070256205937,147.2070256205937,151.69120677054838,151.69120677054838,158.56806807602422,158.56806807602422,157.92186324743952,157.92186324743952,73.4957093369828,73.4957093369828,171.5509791889075,171.5509791889075,156.87917237261723,156.87917237261723,133.3371778929151,133.3371778929151,121.4729290740068,121.4729290740068,165.82847261668428,165.82847261668428,152.51629069881213,152.51629069881213,65.37563892299545,65.37563892299545,171.5095898394946,171.5095898394946,153.19166121472168,153.19166121472168,124.33174022305484,124.33174022305484,165.4775867487145,165.4775867487145,153.298365725284,153.298365725284
TCGA-AN-A0FL-01,119.48054213333413,119.48054213333413,123.73964826078569,123.73964826078569,126.48899520941896,126.48899520941896,129.6896148241645,129.6896148241645,106.64242807605488,106.64242807605488,153.02423374725765,153.02423374725765,128.46064608060118,128.46064608060118,123.79626503627492,123.79626503627492,116.95164926448642,116.95164926448642,139.01182383221456,139.01182383221456,127.51813571745352,127.51813571745352,120.37943807964258,120.37943807964258,153.2478309741555,153.2478309741555,131.69155404135472,131.69155404135472,109.072577928131,109.072577928131,146.3100673961197,146.3100673961197,128.04015774429035,128.04015774429035
TCGA-04-1332-01,106.50006858281388,106.50006858281388,113.2219862890601,113.2219862890601,111.44576609164086,111.44576609164086,115.46138855211484,115.46138855211484,96.507391078556,96.507391078556,128.40667926620864,128.40667926620864,123.15871119692216,123.15871119692216,83.49179946899976,83.49179946899976,117.76564504590318,117.76564504590318,122.70135612751044,122.70135612751044,121.8366448806239,121.8366448806239,114.25495242122906,114.25495242122906,126.16640493242458,126.16640493242458,120.95103950028256,120.95103950028256,75.95517153271425,75.95517153271425,122.50686680639302,122.50686680639302,122.00863249771832,122.00863249771832
TCGA-22-4613-01,127.28071623563272,127.28071623563272,131.98059390063707,131.98059390063707,134.53593838618508,134.53593838618508,133.78950398652057,133.78950398652057,68.38551902308963,68.38551902308963,147.20651807320905,147.20651807320905,139.6521018280915,139.6521018280915,105.75502366733863,105.75502366733863,116.37434078455466,116.37434078455466,144.35223796995967,144.35223796995967,137.97853939797574,137.97853939797574,75.38638083660265,75.38638083660265,147.49482537252018,147.49482537252018,139.2608454128201,139.2608454128201,103.63331037554327,103.63331037554327,146.96402364502862,146.96402364502862,139.2634310846863,139.2634310846863
TCGA-HC-7752-01,141.2875126105209,141.2875126105209,144.2932571655412,144.2932571655412,144.15886225910648,144.15886225910648,148.28225174304168,148.28225174304168,137.92147656513202,137.92147656513202,156.19221321639543,156.19221321639543,151.7027946369789,151.7027946369789,137.33458263680535,137.33458263680535,134.31551794064208,134.31551794064208,153.54768048602054,153.54768048602054,152.32789082255303,152.32789082255303,140.8377499822229,140.8377499822229,154.7620980456986,154.7620980456986,154.98561454156703,154.98561454156703,126.6582067203001,126.6582067203001,138.21714325013755,138.21714325013755,150.49494164973538,150.49494164973538
TCGA-OR-A5J1-01,157.86785695329488,157.86785695329488,160.13113749578548,160.13113749578548,160.83454280771045,160.83454280771045,162.18656125435606,162.18656125435606,178.83019339510906,178.83019339510906,165.369743193484,165.369743193484,167.0022848755825,167.0022848755825,161.27304994583602,161.27304994583602,184.6566933562964,184.6566933562964,162.5176153906634,162.5176153906634,170.69701419743555,170.69701419743555,185.04412000581485,185.04412000581485,167.5717596627667,167.5717596627667,169.85095427943807,169.85095427943807,161.45694946797207,161.45694946797207,157.09229315554188,157.09229315554188,168.33359116066134,168.33359116066134
TP_2018-capt-SI_5936-H09HYADXX,131.7800219575785,131.7800219575785,139.3864895671526,139.3864895671526,139.56476123720097,139.56476123720097,140.93474440644565,140.93474440644565,62.06758702853701,62.06758702853701,155.61082699434925,155.61082699434925,144.09177114041623,144.09177114041623,111.39388464469384,111.39388464469384,126.85906086245777,126.85906086245777,147.3046165902789,147.3046165902789,144.95604741165778,144.95604741165778,69.60680315736838,69.60680315736838,153.38832229372252,153.38832229372252,140.7890521604213,140.7890521604213,108.42102946499504,108.42102946499504,150.12199686469506,150.12199686469506,142.53711221746298,142.53711221746298
TCGA-VM-A8CH-01,151.69211146296226,151.69211146296226,154.04271867408548,154.04271867408548,149.7218376990328,149.7218376990328,148.25425324583676,148.25425324583676,182.4824705022938,182.4824705022938,166.83300533115974,166.83300533115974,154.20461866742147,154.20461866742147,148.95434537983235,148.95434537983235,205.54144035595823,205.54144035595823,142.79341177431203,142.79341177431203,160.68187825814556,160.68187825814556,190.4808755569809,190.4808755569809,165.1425205549719,165.1425205549719,160.4091012794925,160.4091012794925,166.7295493700791,166.7295493700791,144.6273380561609,144.6273380561609,153.6817305886026,153.6817305886026
THR24_1948_S01,157.2281713612103,157.2281713612103,159.0785091355065,159.0785091355065,151.46668796849283,151.46668796849283,154.849298662952,154.849298662952,187.28013615789607,187.28013615789607,173.26473214347985,173.26473214347985,159.38751344093964,159.38751344093964,156.37977403776196,156.37977403776196,208.07156275359364,208.07156275359364,149.68833934102608,149.68833934102608,165.29627040331226,165.29627040331226,193.38298692872945,193.38298692872945,169.62426106998998,169.62426106998998,168.27250587325344,168.27250587325344,170.89117613185005,170.89117613185005,137.07457723005584,137.07457723005584,161.26001362913203,161.26001362913203
TARGET-30-PALNVP-01,156.98091630191942,156.98091630191942,158.11334968581218,158.11334968581218,156.4623830541664,156.4623830541664,161.23673968259874,161.23673968259874,169.19349583201273,169.19349583201273,153.88256532792403,153.88256532792403,163.33540137119564,163.33540137119564,137.337303790528,137.337303790528,194.13488969683564,194.13488969683564,156.58585753291928,156.58585753291928,162.1330764802806,162.1330764802806,180.15260667900424,180.15260667900424,153.17452694329754,153.17452694329754,168.29574376338314,168.29574376338314,157.4834876640981,157.4834876640981,107.27093835467208,107.27093835467208,165.09119544295072,165.09119544295072
THR24_2144_S01,137.77166454037132,137.77166454037132,142.6783275320836,142.6783275320836,144.800602380857,144.800602380857,140.85374378466344,140.85374378466344,147.61250628191772,147.61250628191772,137.68953338428184,137.68953338428184,147.7440322646291,147.7440322646291,122.00432130476308,122.00432130476308,171.2603106115016,171.2603106115016,141.71591183428913,141.71591183428913,150.61016267324908,150.61016267324908,162.14629000835347,162.14629000835347,144.8540249668159,144.8540249668159,148.27081774348926,148.27081774348926,141.14914596630845,141.14914596630845,137.78514699975807,137.78514699975807,146.96911366795138,146.96911366795138
TARGET-10-PAPBES-03,158.42231980108676,158.42231980108676,164.82931690222765,164.82931690222765,170.42179671564813,170.42179671564813,167.7043160836903,167.7043160836903,158.9376979703404,158.9376979703404,165.20593889987236,165.20593889987236,168.28862370007184,168.28862370007184,145.65529352518638,145.65529352518638,169.09115272266646,169.09115272266646,167.49070371412972,167.49070371412972,165.34741449127063,165.34741449127063,165.78233047266588,165.78233047266588,165.99537837188151,165.99537837188151,164.83370367881426,164.83370367881426,169.44167337659147,169.44167337659147,154.4170480197929,154.4170480197929,164.04332504729206,164.04332504729206
THR08_0178_S01,162.4829683143391,162.4829683143391,164.5418461240026,164.5418461240026,171.21570082480747,171.21570082480747,173.3220242468801,173.3220242468801,165.06303791553017,165.06303791553017,168.12387631882774,168.12387631882774,169.50472477115068,169.50472477115068,157.02732713228448,157.02732713228448,159.43867057699808,159.43867057699808,173.1458184294956,173.1458184294956,168.4141305899796,168.4141305899796,166.82758328249136,166.82758328249136,166.74505822081804,166.74505822081804,165.5810800060251,165.5810800060251,173.4139415001105,173.4139415001105,156.50692302241256,156.50692302241256,168.7433949700595,168.7433949700595
THR24_1816_S01,155.94002651567993,155.94002651567993,159.519751862551,159.519751862551,149.73417122889967,149.73417122889967,157.81169374255813,157.81169374255813,178.46937131218093,178.46937131218093,161.43696846063474,161.43696846063474,162.36805542327895,162.36805542327895,153.2530214857307,153.2530214857307,187.8745133392427,187.8745133392427,154.4713921791613,154.4713921791613,162.2773579558485,162.2773579558485,179.31506054657115,179.31506054657115,156.1345253113736,156.1345253113736,165.68797530129842,165.68797530129842,149.6107673622402,149.6107673622402,142.43607000797886,142.43607000797886,157.60509799592805,157.60509799592805
TCGA-13-1409-01,121.32549092730312,121.32549092730312,125.85937646108044,125.85937646108044,124.60025279063672,124.60025279063672,127.22022569821284,127.22022569821284,114.91539531487824,114.91539531487824,133.1370261731765,133.1370261731765,130.35560967780785,130.35560967780785,106.11900121434664,106.11900121434664,122.63822166876584,122.63822166876584,134.51223296600273,134.51223296600273,133.31176909805734,133.31176909805734,125.31438578534345,125.31438578534345,132.15395189257308,132.15395189257308,135.94447827357007,135.94447827357007,95.49325213487124,95.49325213487124,127.73418444563434,127.73418444563434,134.48251948583814,134.48251948583814
