,PR-QmkJ5E,PR-XkWGDu,PR-391OtC,PR-dDIfct,PR-q6QIQQ,PR-Olj6Go,PR-oFLYxy,PR-FbZKpA,PR-8yAIet,PR-xt1s9k,PR-TuCs4Z,PR-uzeoir,PR-itqIbv,PR-g1gg8O,PR-6vZTuK,PR-5EAjfk,PR-YQSFEe,PR-97KrpJ,PR-tGVeMK,PR-711hbz,PR-BaBtLP,PR-juB1P8,PR-dIXDm8,PR-K5EUMa,PR-AsIpQ0,PR-XZ0NkH,PR-aIfhoc,PR-TnhbP6,PR-AQdP9q,PR-aZnSMf,PR-5nAkgO,PR-PfPZdy,PR-EU2Ewv,PR-h2XOKt
TCGA-S9-A6TW-01,154.46193430293795,154.46193430293795,160.15262869992728,160.15262869992728,154.23315386661716,154.23315386661716,152.0396228845987,152.0396228845987,182.73536800408468,182.73536800408468,176.42512159157172,176.42512159157172,158.40952366753427,158.40952366753427,151.89517399803603,151.89517399803603,209.7552711912054,209.7552711912054,147.48181364973365,147.48181364973365,165.86553590514148,165.86553590514148,194.4484013619883,194.4484013619883,173.38051475951465,173.38051475951465,165.78481649678565,165.78481649678565,170.18272073713936,170.18272073713936,150.24601733498693,150.24601733498693,158.26067292107874,158.26067292107874
TARGET-30-PARBAJ-01,150.75221091122555,150.75221091122555,154.104220986331,154.104220986331,149.02400811843646,149.02400811843646,154.25400247690294,154.25400247690294,167.841970064377,167.841970064377,144.08892470558072,144.08892470558072,159.64902425721866,159.64902425721866,134.14151827479392,134.14151827479392,188.63311923346785,188.63311923346785,147.82979042300457,147.82979042300457,162.2885723706308,162.2885723706308,179.64777345384672,179.64777345384672,143.58425557157813,143.58425557157813,165.85420002764127,165.85420002764127,152.2573172427647,152.2573172427647,102.40402312088564,102.40402312088564,160.142836012523,160.142836012523
TCGA-61-1741-01,132.2252947135466,132.2252947135466,132.43745743768497,132.43745743768497,132.95303764688794,132.95303764688794,140.0929206021431,140.0929206021431,115.13055429984507,115.13055429984507,138.61453927509368,138.61453927509368,140.39837702208774,140.39837702208774,120.4756865434974,120.4756865434974,118.1007389980705,118.1007389980705,147.7504004978497,147.7504004978497,142.0451382190344,142.0451382190344,125.45665257638989,125.45665257638989,138.74919532251585,138.74919532251585,143.3835351581767,143.3835351581767,102.48466264209527,102.48466264209527,132.54621583963356,132.54621583963356,145.92449695748965,145.92449695748965
TCGA-CR-6491-01,151.57745795469657,151.57745795469657,157.75827110495567,157.75827110495567,159.76006912258265,159.76006912258265,160.07714111051737,160.07714111051737,77.02003992542355,77.02003992542355,174.19573946292158,174.19573946292158,163.1955890561418,163.1955890561418,129.58588956961202,129.58588956961202,138.77706400809208,138.77706400809208,166.51728116245474,166.51728116245474,160.22770879933154,160.22770879933154,80.11677673102056,80.11677673102056,171.11892525789574,171.11892525789574,157.7999035536879,157.7999035536879,123.10280013491344,123.10280013491344,169.39076344981294,169.39076344981294,158.5975006695242,158.5975006695242
TCGA-98-A53H-01,122.63765842464672,122.63765842464672,129.57573599086854,129.57573599086854,129.43752787191113,129.43752787191113,130.45864366248293,130.45864366248293,69.0693918751552,69.0693918751552,144.88141731863556,144.88141731863556,137.97313535040715,137.97313535040715,96.45009416401076,96.45009416401076,107.6089938246486,107.6089938246486,138.37585061156986,138.37585061156986,137.98853737093737,137.98853737093737,73.51578875365102,73.51578875365102,141.19136290241755,141.19136290241755,141.48648255553954,141.48648255553954,79.05057553559728,79.05057553559728,135.36144364076412,135.36144364076412,138.2098922262414,138.2098922262414
TCGA-2L-AAQA-01,151.5631219439167,151.5631219439167,154.50066894963328,154.50066894963328,160.5485103881516,160.5485103881516,157.14632449813874,157.14632449813874,118.87020110664932,118.87020110664932,181.16618682174908,181.16618682174908,162.42648511793791,162.42648511793791,139.3315463951945,139.3315463951945,67.21414295494505,67.21414295494505,168.35033139676025,168.35033139676025,158.12595490050234,158.12595490050234,121.47968820951152,121.47968820951152,174.07045486130656,174.07045486130656,162.0701225400939,162.0701225400939,120.1777014172284,120.1777014172284,168.22722714489723,168.22722714489723,160.63263286891274,160.63263286891274
TARGET-20-PARAJX-09,137.54846317695922,137.54846317695922,141.47896537463475,141.47896537463475,149.85462185538313,149.85462185538313,146.98743581280698,146.98743581280698,146.23440434115952,146.23440434115952,145.34227565824474,145.34227565824474,151.75093914891977,151.75093914891977,129.16384267937585,129.16384267937585,145.43748820306783,145.43748820306783,153.85487357664277,153.85487357664277,148.5670565072915,148.5670565072915,151.91189446692132,151.91189446692132,145.58678237186555,145.58678237186555,146.34269986277022,146.34269986277022,146.5383336427663,146.5383336427663,136.57042171639438,136.57042171639438,152.7209407265313,152.7209407265313
TCGA-E2-A15E-01,130.6263670473029,130.6263670473029,139.66811504812662,139.66811504812662,134.9170746965887,134.9170746965887,134.34437889882523,134.34437889882523,114.35735912060596,114.35735912060596,161.92654517858367,161.92654517858367,135.17135131183517,135.17135131183517,125.70250237965988,125.70250237965988,135.31702911456276,135.31702911456276,142.13584691049454,142.13584691049454,142.53306398205055,142.53306398205055,126.58248675846676,126.58248675846676,161.10375971358653,161.10375971358653,145.83985144284813,145.83985144284813,112.64032857031196,112.64032857031196,158.23129381606896,158.23129381606896,136.31312711499766,136.31312711499766
MO_1437-poly-SI_9666-C5N0MANXX,144.77078767143777,144.77078767143777,144.90967592722268,144.90967592722268,141.84047298346402,141.84047298346402,149.83295444957267,149.83295444957267,162.69613942040388,162.69613942040388,146.47043701562254,146.47043701562254,151.02746225791108,151.02746225791108,133.72799293912576,133.72799293912576,165.3600157441668,165.3600157441668,145.6884451299776,145.6884451299776,154.138313944277,154.138313944277,166.73737486195117,166.73737486195117,144.86980814930055,144.86980814930055,160.50435589148802,160.50435589148802,136.4331934100696,136.4331934100696,104.6346931573145,104.6346931573145,154.0204866244363,154.0204866244363
TCGA-60-2697-01,107.0827734096556,107.0827734096556,121.28353445321216,121.28353445321216,123.73715779716376,123.73715779716376,122.21299654784232,122.21299654784232,69.96601525131682,69.96601525131682,141.80101665268467,141.80101665268467,128.8090462072174,128.8090462072174,80.4169015192446,80.4169015192446,105.07517261578352,105.07517261578352,133.75910582100596,133.75910582100596,128.00419016183707,128.00419016183707,78.16917115645889,78.16917115645889,140.51327789983003,140.51327789983003,130.31840503664603,130.31840503664603,69.86722833899341,69.86722833899341,135.67779718670852,135.67779718670852,128.89264739304576,128.89264739304576
