feature_id,feature_name,dataset,gene_symbol,entrez_id
AML_Lin,AML,Lin,,
bone_Lin,bone,Lin,,
colorectal_Lin,colorectal,Lin,,
lung_Lin,lung,Lin,,
melanoma_Lin,melanoma,Lin,,
osteosarcoma_Lin,osteosarcoma,Lin,,
skin_Lin,skin,Lin,,
urinary_tract_Lin,urinary_tract,Lin,,
AMY1A_(276)_MutDam,AMY1A (276),MutDam,AMY1A,276
C1orf74_(148304)_MutDam,C1orf74 (148304),MutDam,C1orf74,148304
HNF1B_(6928)_MutDam,HNF1B (6928),MutDam,HNF1B,6928
MAP4K4_(9448)_MutDam,MAP4K4 (9448),MutDam,MAP4K4,9448
MED1_(5469)_MutDam,MED1 (5469),MutDam,MED1,5469
NRAS_(4893)_MutDam,NRAS (4893),MutDam,NRAS,4893
SOX10_(6663)_MutDam,SOX10 (6663),MutDam,SOX10,6663
SWI5_(375757)_MutDam,SWI5 (375757),MutDam,SWI5,375757
UNC93B1_(81622)_MutDam,UNC93B1 (81622),MutDam,UNC93B1,81622
AMY1A_(276)_MutDrv,AMY1A (276),MutDrv,AMY1A,276
C1orf74_(148304)_MutDrv,C1orf74 (148304),MutDrv,C1orf74,148304
F8A1_(8263)_MutDrv,F8A1 (8263),MutDrv,F8A1,8263
HNF1B_(6928)_MutDrv,HNF1B (6928),MutDrv,HNF1B,6928
MAP4K4_(9448)_MutDrv,MAP4K4 (9448),MutDrv,MAP4K4,9448
MED1_(5469)_MutDrv,MED1 (5469),MutDrv,MED1,5469
NRAS_(4893)_MutDrv,NRAS (4893),MutDrv,NRAS,4893
SOX10_(6663)_MutDrv,SOX10 (6663),MutDrv,SOX10,6663
SWI5_(375757)_MutDrv,SWI5 (375757),MutDrv,SWI5,375757
UNC93B1_(81622)_MutDrv,UNC93B1 (81622),MutDrv,UNC93B1,81622
NRAS_(4893)_MutHot,NRAS (4893),MutHot,NRAS,4893
SOX10_(6663)_MutHot,SOX10 (6663),MutHot,SOX10,6663
SWI5_(375757)_MutHot,SWI5 (375757),MutHot,SWI5,375757
HNF1B_17_36105069_36106069_RRBS,HNF1B_17_36105069_36106069,RRBS,,
KDM7A_7_139876741_139877741_RRBS,KDM7A_7_139876741_139877741,RRBS,,
MAP4K4_2_102313164_102314164_RRBS,MAP4K4_2_102313164_102314164,RRBS,,
MAP4K4_2_102313537_102314537_RRBS,MAP4K4_2_102313537_102314537,RRBS,,
MED1_17_37607527_37608527_RRBS,MED1_17_37607527_37608527,RRBS,,
MIR3613_13_50570637_50571637_RRBS,MIR3613_13_50570637_50571637,RRBS,,
SOX10_22_38380539_38381539_RRBS,SOX10_22_38380539_38381539,RRBS,,
SWI5_9_131037424_131038424_RRBS,SWI5_9_131037424_131038424,RRBS,,
TRIL_7_28998029_28999029_RRBS,TRIL_7_28998029_28999029,RRBS,,
UNC93B1_11_67771595_67772595_RRBS,UNC93B1_11_67771595_67772595,RRBS,,
NRAS_(N_Ras)_RPPA,NRAS (N-Ras),RPPA,,
AMY1A_(276)_RNAseq,AMY1A (276),RNAseq,AMY1A,276
ANOS1_(3730)_RNAseq,ANOS1 (3730),RNAseq,ANOS1,3730
C1orf74_(148304)_RNAseq,C1orf74 (148304),RNAseq,C1orf74,148304
F8A1_(8263)_RNAseq,F8A1 (8263),RNAseq,F8A1,8263
HNF1B_(6928)_RNAseq,HNF1B (6928),RNAseq,HNF1B,6928
KDM7A_(80853)_RNAseq,KDM7A (80853),RNAseq,KDM7A,80853
