subtype_code,out_group,entity_id,dataset,t_pval,t_qval,t_qval_log,mean_in,mean_out,effect_size,selectivity_val,n_dep_in,n_dep_out,frac_dep_in,frac_dep_out
BONE,All Others,C1orf74 (148304),CRISPR,0.1092381261917960,0.3275729699977930,0.4846919416647260,-0.0702717926011513,-0.1034457197635230,0.0331739271623718,-0.1922987994477130,0.0,19.0,0.0,0.0150316455696202
BONE,All Others,HNF1B (6928),CRISPR,0.0215022150026292,0.129713231910392,0.8870157197327370,-0.2258108292085710,-0.3571393480535710,0.1313285188450000,-30.096167894114100,4.0,221.0,0.0714285714285714,0.1748417721518990
BONE,All Others,MAP4K4 (9448),CRISPR,0.7021934979644350,0.8644247312526170,0.0632728164152475,-0.0537556773455373,-0.0426471003406596,-0.0111085770048776,2.3887106182069300,1.0,17.0,0.0178571428571428,0.0134493670886075
BONE,All Others,MED1 (5469),CRISPR,0.1187039978480780,0.34481507526088,0.4624137551457810,-0.528427052912845,-0.6313448052260620,0.1029177523132170,-0.2415862744187990,31.0,768.0,0.5535714285714290,0.6075949367088610
BONE,All Others,NRAS (4893),CRISPR,0.3219716538929720,0.5856611373023330,0.2323535934812050,-0.1707791840830070,-0.2175630099386870,0.0467838258556799,-90.81026495030990,5.0,104.0,0.0892857142857142,0.0822784810126582
BONE,All Others,SOX10 (6663),CRISPR,0.0416868792851431,0.1868192434728790,0.7285783909343950,-0.1192992197013190,-0.2277947497503600,0.108495530049041,-56.52794361195790,0.0,100.0,0.0,0.0791139240506329
BONE,All Others,SWI5 (375757),CRISPR,0.2828028317473630,0.5489411087916790,0.2604742448006900,-0.193917799290968,-0.1674080488744090,-0.0265097504165589,-4.838102563279980,3.0,56.0,0.0535714285714285,0.0443037974683544
BONE,All Others,BRD:BRD-A25569250-001-03-3,PRISMRepurposing,0.2438363845174770,0.7119325439032780,0.147561154113751,-0.1500889620646180,-0.3871331487997950,0.2370441867351780,0.2935786106655800,,,,
BONE,All Others,BRD:BRD-A25608658-001-01-1,PRISMRepurposing,0.2958710046265000,0.7465236213312490,0.1269564458739660,-2.108416171138,-1.8147020601780900,-0.2937141109599100,0.3258953988528030,,,,
BONE,All Others,BRD:BRD-A25625670-001-02-7,PRISMRepurposing,0.7932084225596170,0.9576201143994140,0.018806740336683,-0.0554124184779316,-0.0769640211290967,0.0215516026511651,0.1541770476131540,,,,
BONE,All Others,BRD:BRD-A25988899-001-01-6,PRISMRepurposing,0.2173097729545410,0.6969243975473810,0.1568143316707570,-0.5886939528291080,-0.4056557681683600,-0.1830381846607480,0.4683564304008800,,,,
BONE,All Others,BRD:BRD-A26032986-050-02-1,PRISMRepurposing,0.2635490188578490,0.7219865962623780,0.1414708650665400,-0.014640707057847,-0.2318326887968650,0.2171919817390180,0.3114553136445230,,,,
BONE,All Others,BRD:BRD-A27732521-003-08-3,PRISMRepurposing,0.2650311535714390,0.7219865962623780,0.1414708650665400,-0.3845813568978650,-0.515460970397491,0.1308796134996260,0.226278462629147,,,,
BONE,All Others,BRD:BRD-A27883417-300-01-6,PRISMRepurposing,0.7643590338877360,0.9530781402503600,0.0208714912941466,-0.9848779917958650,-1.0648312821763700,0.0799532903805076,0.3745309695480600,,,,
BONE,All Others,BRD:BRD-A27887842-001-04-0,PRISMRepurposing,0.7392303316466500,0.9494909752777430,0.0225091587897371,-0.2548966323328880,-0.2134656965074460,-0.041430935825442,0.2412697357113630,,,,
BONE,All Others,BRD:BRD-K00003151-001-01-9,PRISMRepurposing,0.3147755093568580,0.7636752233831930,0.1170912993836670,0.0044059092245454,-0.0853650287910791,0.0897709380156246,0.2043988720955660,,,,
BONE,All Others,BRD:BRD-K00003152-001-01-9,PRISMRepurposing,0.3899312458371980,0.7976733805543990,0.0981749007044825,0.1763730346096160,0.1027335754488210,0.0736394591607958,0.1497860681787240,,,,
BONE,All Others,BRD:BRD-K00003154-001-01-9,PRISMRepurposing,0.5696251499263420,0.8867517719696640,0.0521979350174197,-0.0687282990591792,-0.122241693198614,0.0535133941394348,0.1939859180504980,,,,
BONE,All Others,BRD:BRD-K00003155-003-01-9,PRISMRepurposing,0.4408872552616620,0.8264164695039220,0.0828010364262369,0.0006582622271944,-0.0687407437703208,0.0693990059975153,0.1807212970966940,,,,
BONE,All Others,BRD:BRD-K00003159-300-01-9,PRISMRepurposing,0.4083606384165130,0.802845828543899,0.0953678448097911,-2.3550445100566500,-2.140781570082950,-0.2142629399737030,0.3902828347642920,,,,
BONE,All Others,PRC-003330600-058-29,PRISMOncRef,0.5087833407418850,0.701295956157733,0.1540986653411230,0.532113842051711,0.5417498044420140,-0.0096359623903025,0.3406972140222310,,,,
BONE,All Others,PRC-003382696-997-97,PRISMOncRef,0.1315595369599680,0.372866140911645,0.4284470520982510,0.941435554268266,0.902895703198033,0.0385398510702329,0.4997126485172310,,,,
BONE,All Others,PRC-003394122-986-91,PRISMOncRef,0.5955162350861180,0.7764174011367620,0.1099047397275340,0.3162796702432520,0.3104389687584690,0.0058407014847829,0.329442613504941,,,,
BONE,All Others,PRC-003394766-647-21,PRISMOncRef,0.4386363807783590,0.6689091524228520,0.1746328617248260,0.6326620744851940,0.5825550861410750,0.0501069883441188,0.553733077610431,,,,
BONE,All Others,PRC-003465060-210-01,PRISMOncRef,0.0498025661107038,0.1844128522141050,0.7342088151090610,0.911702034387213,0.8705751760412520,0.0411268583459606,0.444880053060035,,,,
BONE,All Others,PRC-003484266-912-51,PRISMOncRef,0.1010788896612000,0.3151114231083310,0.5015358529256740,0.9821902080436960,0.9560876466142330,0.0261025614294629,0.630070578756723,,,,
BONE,All Others,PRC-003509147-867-28,PRISMOncRef,0.3366909506204430,0.6019137308117130,0.2204657494684610,0.9630814187122470,0.951805865881452,0.0112755528307948,0.538424784850503,,,,
BONE,All Others,PRC-003526520-421-04,PRISMOncRef,0.3867898044222290,0.6322525649209510,0.1991094001349910,0.9326741477649570,0.9203727103372140,0.0123014374277435,0.4706042959170630,,,,
BONE,All Others,PRC-003532510-108-48,PRISMOncRef,0.4382035623926080,0.6689091524228520,0.1746328617248260,0.8802158741786340,0.8975048900231140,-0.0172890158444801,0.5668671630913580,,,,
BONE,All Others,PRC-003538266-583-86,PRISMOncRef,0.1372645807656220,0.3846425065410300,0.4149427239036840,0.7458679581066490,0.7804989425883710,-0.0346309844817216,0.5361205156391010,,,,
ES,All Others,C1orf74 (148304),CRISPR,0.7762812181974370,0.914212222650922,0.0389529766647529,-0.0943849223115811,-0.1022224030838630,0.0078374807722813,-0.1922987994477130,0.0,19.0,0.0,0.0147401086113266
ES,All Others,HNF1B (6928),CRISPR,0.0981263815232697,0.3435978213223980,0.463949598597082,-0.2287115867106270,-0.3545224850173500,0.1258108983067230,-30.096167894114100,2.0,223.0,0.064516129032258,0.1730023273855700
ES,All Others,MAP4K4 (9448),CRISPR,0.1158569787295520,0.372950633380866,0.4283486509504980,-0.1024650276948170,-0.0416911069847979,-0.0607739207100185,2.3887106182069300,1.0,17.0,0.032258064516129,0.0131885182311869
ES,All Others,MED1 (5469),CRISPR,0.4985292343731350,0.7613836565683650,0.1183964497417110,-0.5689334470815670,-0.6283745631569690,0.0594411160754025,-0.2415862744187990,19.0,780.0,0.6129032258064520,0.6051202482544610
ES,All Others,NRAS (4893),CRISPR,0.3266572898128180,0.6257611013863080,0.2035914370005250,-0.1553596395340120,-0.2170264779252090,0.061666838391196,-90.81026495030990,2.0,107.0,0.064516129032258,0.0830100853374709
ES,All Others,SOX10 (6663),CRISPR,0.0647164412818298,0.279970146001245,0.5528882762226640,-0.0952786077504139,-0.2262681793230930,0.1309895715726790,-56.52794361195790,0.0,100.0,0.0,0.0775795190069821
ES,All Others,SWI5 (375757),CRISPR,0.8966956858536270,0.9674876061594900,0.0143545897312929,-0.1640479538525690,-0.1685792034167990,0.0045312495642306,-4.838102563279980,1.0,58.0,0.032258064516129,0.0449961210240496
ES,All Others,BRD:BRD-A00047421-001-01-7,PRISMRepurposing,0.4372396354089290,0.8131854721150910,0.0898103888099573,-2.034974324716500,-2.3291674150009100,0.2941930902844040,0.3699259820828240,,,,
ES,All Others,BRD:BRD-A00077618-236-07-6,PRISMRepurposing,0.2285577085168610,0.6673140081027800,0.1756697584432710,-0.1776765867867580,-0.0118854505765703,-0.165791136210188,0.2640685061742690,,,,
ES,All Others,BRD:BRD-A00092689-236-04-9,PRISMRepurposing,0.3859333027395090,0.7800566120632140,0.1078738775473730,-0.0269833833222077,-0.1200746991574400,0.0930913158352318,0.2165017495276690,,,,
ES,All Others,BRD:BRD-A00559310-003-01-1,PRISMRepurposing,0.8430588759251220,0.9663581630805320,0.0148618803957181,-0.2321850060237530,-0.2116892512819450,-0.020495754741808,0.1961113518416220,,,,
ES,All Others,BRD:BRD-A00578795-001-04-3,PRISMRepurposing,0.1980407315379410,0.6200825901337790,0.2075504620331060,-0.5533801752487170,-0.3626575664604410,-0.1907226087882760,0.2624216202945920,,,,
ES,All Others,BRD:BRD-A00758722-001-04-9,PRISMRepurposing,0.3515402295736640,0.754903820820588,0.1221083765134040,-0.764264137905975,-0.911891303381492,0.147627165475517,0.240517943808141,,,,
ES,All Others,BRD:BRD-A01643550-001-04-9,PRISMRepurposing,0.9474509177634430,0.9809547504345050,0.0083510253314094,-0.5189207423028080,-0.5017270121112670,-0.0171937301915411,0.2813658139169140,,,,
ES,All Others,BRD:BRD-A02473266-001-01-1,PRISMRepurposing,0.876804532079823,0.9736501612092910,0.0115970599061443,-2.836997422469820,-2.7465415102586300,-0.0904559122111887,0.4735550011862050,,,,
ES,All Others,BRD:BRD-A02971356-001-09-9,PRISMRepurposing,0.2443868210269350,0.6806222540772570,0.1670938550272400,-0.163315327676867,0.0022144400492497,-0.1655297677261170,0.2541156409389570,,,,
ES,All Others,BRD:BRD-A03216249-003-24-3,PRISMRepurposing,0.3030868310769330,0.7242525031668310,0.1401099951098220,-0.61654736783625,-0.4360066601850090,-0.1805407076512410,0.3357881272354420,,,,
ES,All Others,PRC-000015573-601-10,PRISMOncRef,0.1773425665886220,0.3617788358407900,0.4415568430771060,0.8893094281783530,0.8593857740663460,0.0299236541120067,0.3440892750644230,,,,
ES,All Others,PRC-000110991-778-86,PRISMOncRef,0.417534451216652,0.6413932834954590,0.1928755922032320,0.9086919878690010,0.8831063462406950,0.0255856416283057,0.551160420074557,,,,
ES,All Others,PRC-000131355-058-25,PRISMOncRef,0.0950959123224997,0.2449440165882570,0.6109331648806090,0.96698731420294,0.9186133529174890,0.0483739612854505,0.5974737366660820,,,,
ES,All Others,PRC-000133824-529-61,PRISMOncRef,0.5324999995889750,0.7375551632866810,0.1322054923462930,0.8708792249906260,0.893618612652826,-0.0227393876622001,0.6310436060216860,,,,
ES,All Others,PRC-000135156-525-58,PRISMOncRef,0.0219937158202992,0.0934732922362718,1.029312460692480,0.9377687560796700,0.8830387770855980,0.0547299789940728,0.4087424957287350,,,,
